Name,Left Arm,Left Torso,Center,Right Torso,Right Arm,Head,JJ,Engines,Hardpoints,Torso/Arm,Costs
"NSR-9P(C)
Champion",1 B   1 E,1 AMS   1 B,1 M (10),1 B,1 B   1 E,1 AMS,,190-345 STD270,2 4 1,95° / 30° 25° / 30°,
NSR-9S,1 B,1 AMS   1 E,1 E,1 E,1 B,1 E,4,190-345 XL285,4 2 0,95° / 0° 25° / 30°,
"WOLF PHOENIX
Hero",2 E,1 AMS   2 M (20x2),,2 M (20x2),2 E,,,190-345 STD285,4 0 4,95° / 30° 25° / 30°,
ANNIHILATOR (100),,,,,,,,,,,
ANH-1A,1 B   1 E,2 B,2 E,1 AMS   1 B,1 B   2 E,,,200-300 STD200,5 5 0,90° / 40° 20° / 25°,
ANH-1E,3 E,,2 E,1 AMS,3 E,1 AMS,,200-300 STD200,8 0 0,90° / 40° 20° / 25°,
ANH-1P,2 B,2 E,2 E,1 AMS   2 E,2 B,,,200-300 STD300,6 4 0,90° / 0° 20° / 25°,
ANH-1X,1 B   2 E,1 B,2 E,1 AMS   1 B,1 B   2 E,1 E,,200-300 STD200,7 4 0,90° / 40° 20° / 25°,
ANH-2A,1 B   1 E,2 B,2 E,1 AMS   2 B,1 B   1 E,,,200-300 STD200,4 6 0,90° / 40° 20° / 25°,
"MEAN BABY
Hero",2 E,2 M (20x2),1 E,1 AMS   2 M (20x2),2 E,1 E,,200-300 XL300,6 0 4,90° / 40° 20° / 25°,
ATLAS (100),,,,,,,,,,,
"BOAR'S HEAD
Hero",1 AMS   3 E,1 M (10),,1 B,3 E,,,200-400 XL400,6 1 1,85° / 35° 16° / 30°,7500
AS7-D,1 AMS   1 E,"2 M (10, 6)",2 E,2 B,1 E,,,200-360 STD300,4 2 2,90° / 40° 16° / 30°,3875 9676072
AS7-D-DC,1 AMS   1 E,"1 ECM   3 M (10, 6x2)",,2 B,1 E,,,200-360 STD300,2 2 3,90° / 40° 16° / 30°,4195 10486012
AS7-K,1 AMS   1 E,1 M (10),2 E,1 B,1 AMS   1 E,,,200-360 XL300,4 1 1,90° / 40° 16° / 30°,5480 13691066
"KRAKEN
Hero",1 AMS   1 E,2 M (10x2),2 E,1 B,2 E,,,200-360 XL300,5 1 2,90° / 40° 16° / 30°,
AS7-RS,1 AMS   2 E,"2 M (10, 6)",,1 B,2 E,,,200-360 STD300,4 1 2,90° / 40° 16° / 30°,3745 9358066
"AS7-RS(C)
Champion",1 AMS   2 E,"2 M (10, 6)",,1 B,2 E,,,200-360 STD350,4 1 2,90° / 40° 16° / 30°,4685
AS7-S,1 AMS   1 E,"4 M (10, 6x3)",2 E,1 B,1 E,,,200-360 STD300,4 1 4,85° / 35° 16° / 30°,3930 9820075
FAFNIR (100),,,,,,,,,,,
FNR-5,1 E,1 AMS   2 B,1 ECM,2 B,1 E,1 E,,200-325 STD300,3 4 0,100° / 0° 20° / 30°,
FNR-5B,2 E,1 AMS   1 B,1 ECM,1 B,2 E,1 E,,200-325 STD300,5 2 0,100° / 0° 20° / 30°,
FNR-5E,2 M (20x2),2 B,,2 B,2 M (20x2),1 AMS,,200-325 STD300,0 4 4,100° / 0° 20° / 30°,
FNR-6R,1 E   1 M (20),1 B   1 E,,1 B   1 E,1 E   1 M (20),1 AMS,,200-325 STD300,4 2 2,100° / 0° 20° / 30°,
FNR-6U,2 B,2 E,,2 E,2 B,1 AMS,,200-325 STD300,4 4 0,100° / 0° 20° / 30°,
"WRATH
Hero",1 E   1 M (20),1 AMS   2 E   2 M (20x2),1 ECM,1 B,1 E   1 M (20),1 E,,200-325 STD300,5 1 4,100° / 0° 20° / 30°,
KING CRAB (100),,,,,,,,,,,
KGC-000,3 B,2 M (20x2),1 AMS,2 E,3 B,,,200-360 STD300,2 6 2,100° / 0° 25° / 30°,4040 10097884
KGC-0000,1 B,"4 M (20x2, 15x2)",1 AMS,4 E,1 B,,,200-360 STD300,4 2 4,100° / 0° 25° / 30°,3900 9748980
KGC-000B,2 B,"3 M (20x2, 15)",1 AMS,3 E,2 B,,,200-360 STD300,3 4 3,100° / 0° 25° / 30°,4105 10251950
"KGC-000B(C)
Champion",2 B,"3 M (20x2, 15)",1 AMS,3 E,2 B,,,200-360 STD310,3 4 3,100° / 0° 25° / 30°,5135
"KAIJU
Hero",3 E,2 M (20x2),1 AMS,2 B,3 E,,,200-360 STD300,6 2 2,100° / 0° 25° / 30°,
